schema	atelier-codev-target-v1
status	ok
mode	target
stage	A
source_zmx	US8908290B1.zmx
num_fields	3
vignetting_edge	0
target.efl_mm	3.95031
target.f_number	1.86434
seed_baseline.efl_y_mm	3.95203
seed_baseline.max_lateral_color_um	2.02488
seed_baseline.max_rms_spot_diameter_um	45.8087
seed_baseline.max_rms_wavefront_error_waves	0.561862
seed_baseline.max_distortion_pct	2.6313
seed_baseline.fno	2
seed_baseline.epd_mm	1.97601
seed_baseline.maximh_mm	4.03568
config_pre_aut.efl_y_mm	3.95203
config_pre_aut.max_lateral_color_um	2.02488
config_pre_aut.max_rms_spot_diameter_um	67.7159
config_pre_aut.max_rms_wavefront_error_waves	1.15317
config_pre_aut.max_distortion_pct	2.6313
config_pre_aut.fno	1.86434
config_pre_aut.epd_mm	2.1198
config_pre_aut.maximh_mm	4.03568
post_aut.efl_y_mm	3.93363
post_aut.max_lateral_color_um	2.02488
post_aut.max_rms_spot_diameter_um	148.176
post_aut.max_rms_wavefront_error_waves	0.918826
post_aut.max_distortion_pct	2.6313
post_aut.fno	1.86434
post_aut.epd_mm	2.1198
post_aut.maximh_mm	4.01689
efl_target_deviation_pct	0.422198
aut_converged	1
