schema	atelier-codev-readout-v1
surface.12.semi_diameter_mm	1.27096
surface.12.glass	639000.235000
surface.12.nd	1.639
surface.12.vd	23.5
surface.12.surface_type	ASP
surface.12.is_stop	0
surface.12.asphere.K	1.2718
surface.12.asphere.A	-0.0365073
surface.12.asphere.B	0.247302
surface.12.asphere.C	-0.423102
surface.12.asphere.D	0.403356
surface.12.asphere.E	-0.172012
surface.12.asphere.F	0.0244622
surface.12.asphere.G	0.000005
surface.12.asphere.H	0
surface.12.asphere.J	0
surface.13.radius_y_mm	-3.19833
surface.13.thickness_mm	0.00711825
surface.13.semi_diameter_mm	1.42136
surface.13.glass	
surface.13.nd	1
surface.13.vd	0
surface.13.surface_type	ASP
surface.13.is_stop	0
surface.13.asphere.K	-9.9934
surface.13.asphere.A	-0.188367
surface.13.asphere.B	0.263122
surface.13.asphere.C	-0.301952
surface.13.asphere.D	0.218024
surface.13.asphere.E	-0.0804511
surface.13.asphere.F	0.0116948
surface.13.asphere.G	3.876608e-07
surface.13.asphere.H	0
surface.13.asphere.J	0
surface.14.radius_y_mm	2.03921
surface.14.thickness_mm	0.419
surface.14.semi_diameter_mm	1.43438
surface.14.glass	544000.559000
surface.14.nd	1.544
surface.14.vd	55.9
surface.14.surface_type	ASP
surface.14.is_stop	0
surface.14.asphere.K	-10.051
surface.14.asphere.A	-0.0579304
surface.14.asphere.B	0.00870608
surface.14.asphere.C	-0.0825377
surface.14.asphere.D	0.0510799
surface.14.asphere.E	-0.0180933
surface.14.asphere.F	0.00292222
surface.14.asphere.G	3.790751e-07
surface.14.asphere.H	0
surface.14.asphere.J	0
surface.15.radius_y_mm	1.87099
surface.15.thickness_mm	0.201591
surface.15.semi_diameter_mm	2.04126
surface.15.glass	
surface.15.nd	1
surface.15.vd	0
surface.15.surface_type	ASP
surface.15.is_stop	0
surface.15.asphere.K	-14.423
surface.15.asphere.A	-0.0195604
surface.15.asphere.B	0.0123663
surface.15.asphere.C	-0.0267995
surface.15.asphere.D	0.0111795
surface.15.asphere.E	-0.00171678
surface.15.asphere.F	0.000084
surface.15.asphere.G	-3.914647e-08
surface.15.asphere.H	0
surface.15.asphere.J	0
surface.16.radius_y_mm	1.35386
surface.16.thickness_mm	0.587
surface.16.semi_diameter_mm	2.21098
surface.16.glass	544000.559000
surface.16.nd	1.544
surface.16.vd	55.9
surface.16.surface_type	ASP
surface.16.is_stop	0
surface.16.asphere.K	-2.7322
surface.16.asphere.A	-0.379893
surface.16.asphere.B	0.190913
surface.16.asphere.C	-0.0583871
surface.16.asphere.D	0.0135339
surface.16.asphere.E	-0.00227249
surface.16.asphere.F	0.000230891
surface.16.asphere.G	-0.00001
surface.16.asphere.H	0
surface.16.asphere.J	0
surface.17.radius_y_mm	1.2424
surface.17.thickness_mm	0.433507
surface.17.semi_diameter_mm	2.41984
surface.17.glass	
surface.17.nd	1
surface.17.vd	0
surface.17.surface_type	ASP
surface.17.is_stop	0
surface.17.asphere.K	-1.7788
surface.17.asphere.A	-0.283917
surface.17.asphere.B	0.167089
surface.17.asphere.C	-0.0752395
surface.17.asphere.D	0.0227369
surface.17.asphere.E	-0.00417915
surface.17.asphere.F	0.00041502
surface.17.asphere.G	-0.000017
surface.17.asphere.H	0
surface.17.asphere.J	0
surface.18.radius_y_mm	1.000000e+18
surface.18.thickness_mm	0.21
surface.18.semi_diameter_mm	2.77028
surface.18.glass	516999.642000
surface.18.nd	1.517
surface.18.vd	64.2
surface.18.surface_type	SPH
surface.18.is_stop	0
surface.18.asphere.K	0
surface.18.asphere.A	0
surface.18.asphere.B	0
surface.18.asphere.C	0
surface.18.asphere.D	0
surface.18.asphere.E	0
surface.18.asphere.F	0
surface.18.asphere.G	0
surface.18.asphere.H	0
surface.18.asphere.J	0
surface.19.radius_y_mm	1.000000e+18
surface.19.thickness_mm	0.176507
surface.19.semi_diameter_mm	2.82024
surface.19.glass	
surface.19.nd	1
surface.19.vd	0
surface.19.surface_type	SPH
surface.19.is_stop	0
surface.19.asphere.K	0
surface.19.asphere.A	0
surface.19.asphere.B	0
surface.19.asphere.C	0
surface.19.asphere.D	0
surface.19.asphere.E	0
surface.19.asphere.F	0
surface.19.asphere.G	0
surface.19.asphere.H	0
surface.19.asphere.J	0
surface.20.radius_y_mm	1.000000e+18
surface.20.thickness_mm	0
surface.20.semi_diameter_mm	2.88643
surface.20.glass	
surface.20.nd	1
surface.20.vd	0
surface.20.surface_type	SPH
surface.20.is_stop	0
surface.20.asphere.K	0
surface.20.asphere.A	0
surface.20.asphere.B	0
surface.20.asphere.C	0
surface.20.asphere.D	0
surface.20.asphere.E	0
surface.20.asphere.F	0
surface.20.asphere.G	0
surface.20.asphere.H	0
surface.20.asphere.J	0
wavelength.1.wavelength_nm	656.273
wavelength.1.weight	1
wavelength.2.wavelength_nm	587.562
wavelength.2.weight	1
wavelength.3.wavelength_nm	486.133
wavelength.3.weight	1
field.1.definition_type	ANG
field.1.x	0
field.1.y	0
field.1.vuy	0
field.1.vly	0
field.1.vux	0
field.1.vlx	0
field.2.definition_type	ANG
field.2.x	0
field.2.y	35.2
field.2.vuy	0.2
field.2.vly	0.2
field.2.vux	0.2
field.2.vlx	0.2
field.3.definition_type	ANG
field.3.x	0
field.3.y	24.8864
field.3.vuy	0.2
field.3.vly	0.2
field.3.vux	0.2
field.3.vlx	0.2
