schema	atelier-codev-target-v1
status	ok
mode	target
stage	probe
source_zmx	US20180143405A1.zmx
num_fields	3
vignetting_edge	0
target.efl_mm	3.07303
target.f_number	2.36
seed_baseline.efl_y_mm	3.07374
seed_baseline.max_lateral_color_um	1.88231
seed_baseline.max_rms_spot_diameter_um	12.4275
seed_baseline.max_rms_wavefront_error_waves	0
seed_baseline.max_distortion_pct	3.02433
seed_baseline.fno	1.86
seed_baseline.epd_mm	1.65255
seed_baseline.maximh_mm	3.3544
config_pre_aut.efl_y_mm	3.07374
config_pre_aut.max_lateral_color_um	1.88231
config_pre_aut.max_rms_spot_diameter_um	11.3614
config_pre_aut.max_rms_wavefront_error_waves	0.177882
config_pre_aut.max_distortion_pct	3.02433
config_pre_aut.fno	2.36
config_pre_aut.epd_mm	1.30243
config_pre_aut.maximh_mm	3.3544
post_aut.efl_y_mm	3.04531
post_aut.max_lateral_color_um	2.14967
post_aut.max_rms_spot_diameter_um	35.5543
post_aut.max_rms_wavefront_error_waves	0.776439
post_aut.max_distortion_pct	6.07615
post_aut.fno	2.36
post_aut.epd_mm	1.29039
post_aut.maximh_mm	3.32338
efl_target_deviation_pct	0.901803
aut_converged	1
