schema	atelier-codev-target-v1
status	ok
mode	target
stage	A
source_zmx	US-11940597-B2-e6.zmx
num_fields	2
vignetting_edge	0
target.efl_mm	19.6731
target.f_number	4
seed_baseline.efl_y_mm	19.6829
seed_baseline.max_lateral_color_um	0
seed_baseline.max_rms_spot_diameter_um	1678.6
seed_baseline.max_rms_wavefront_error_waves	71.5422
seed_baseline.max_distortion_pct	0.402885
seed_baseline.fno	3.57
seed_baseline.epd_mm	5.51341
seed_baseline.maximh_mm	3.25848
config_pre_aut.efl_y_mm	19.6829
config_pre_aut.max_lateral_color_um	0
config_pre_aut.max_rms_spot_diameter_um	1277.86
config_pre_aut.max_rms_wavefront_error_waves	44.4888
config_pre_aut.max_distortion_pct	0.402885
config_pre_aut.fno	4
config_pre_aut.epd_mm	4.92072
config_pre_aut.maximh_mm	3.25848
post_aut.efl_y_mm	19.6731
post_aut.max_lateral_color_um	0
post_aut.max_rms_spot_diameter_um	33.0108
post_aut.max_rms_wavefront_error_waves	0.413199
post_aut.max_distortion_pct	0.180885
post_aut.fno	4
post_aut.epd_mm	4.91828
post_aut.maximh_mm	3.25687
efl_target_deviation_pct	3.533386e-09
aut_converged	1
