schema	atelier-codev-target-v1
status	ok
mode	target
stage	A
source_zmx	US10330891B2.zmx
num_fields	3
vignetting_edge	0.2
target.efl_mm	2.41636
target.f_number	2.18162
seed_baseline.efl_y_mm	2.41757
seed_baseline.max_lateral_color_um	1.25424
seed_baseline.max_rms_spot_diameter_um	4.9884
seed_baseline.max_rms_wavefront_error_waves	0
seed_baseline.max_distortion_pct	3.85518
seed_baseline.fno	2.08
seed_baseline.epd_mm	1.16229
seed_baseline.maximh_mm	2.96424
config_pre_aut.efl_y_mm	2.41757
config_pre_aut.max_lateral_color_um	1.25424
config_pre_aut.max_rms_spot_diameter_um	4.5795
config_pre_aut.max_rms_wavefront_error_waves	0.0773684
config_pre_aut.max_distortion_pct	3.85518
config_pre_aut.fno	2.18162
config_pre_aut.epd_mm	1.10815
config_pre_aut.maximh_mm	2.96424
post_aut.efl_y_mm	2.41636
post_aut.max_lateral_color_um	0.10075
post_aut.max_rms_spot_diameter_um	3.8951
post_aut.max_rms_wavefront_error_waves	0.08885
post_aut.max_distortion_pct	4.79476
post_aut.fno	2.18162
post_aut.epd_mm	1.1076
post_aut.maximh_mm	2.96275
efl_target_deviation_pct	7.535150e-13
aut_converged	1
