schema	atelier-codev-target-v1
status	ok
mode	target
stage	A
source_zmx	US8908290B1.zmx
num_fields	3
vignetting_edge	0.2
target.efl_mm	3.95031
target.f_number	2.12531
seed_baseline.efl_y_mm	3.95203
seed_baseline.max_lateral_color_um	2.02488
seed_baseline.max_rms_spot_diameter_um	45.8087
seed_baseline.max_rms_wavefront_error_waves	0.561862
seed_baseline.max_distortion_pct	2.6313
seed_baseline.fno	2
seed_baseline.epd_mm	1.97601
seed_baseline.maximh_mm	4.03568
config_pre_aut.efl_y_mm	3.95203
config_pre_aut.max_lateral_color_um	2.02488
config_pre_aut.max_rms_spot_diameter_um	30.8566
config_pre_aut.max_rms_wavefront_error_waves	0.513567
config_pre_aut.max_distortion_pct	2.6313
config_pre_aut.fno	2.12531
config_pre_aut.epd_mm	1.8595
config_pre_aut.maximh_mm	4.03568
post_aut.efl_y_mm	3.95031
post_aut.max_lateral_color_um	1.40326
post_aut.max_rms_spot_diameter_um	17.0707
post_aut.max_rms_wavefront_error_waves	0.304085
post_aut.max_distortion_pct	4.05864
post_aut.fno	2.12531
post_aut.epd_mm	1.8587
post_aut.maximh_mm	4.03392
efl_target_deviation_pct	6.805869e-08
aut_converged	1
