schema	atelier-codev-target-v1
status	ok
mode	target
stage	probe
source_zmx	US10310222B2.zmx
num_fields	3
vignetting_edge	0
target.efl_mm	4.60912
target.f_number	2.3
seed_baseline.efl_y_mm	4.60641
seed_baseline.max_lateral_color_um	0.902891
seed_baseline.max_rms_spot_diameter_um	27.2104
seed_baseline.max_rms_wavefront_error_waves	0
seed_baseline.max_distortion_pct	1.96809
seed_baseline.fno	1.8
seed_baseline.epd_mm	2.55912
seed_baseline.maximh_mm	3.61189
config_pre_aut.efl_y_mm	4.60641
config_pre_aut.max_lateral_color_um	0.902891
config_pre_aut.max_rms_spot_diameter_um	18.2316
config_pre_aut.max_rms_wavefront_error_waves	0.89574
config_pre_aut.max_distortion_pct	1.96809
config_pre_aut.fno	2.3
config_pre_aut.epd_mm	2.00279
config_pre_aut.maximh_mm	3.61189
post_aut.efl_y_mm	4.60778
post_aut.max_lateral_color_um	1.95217
post_aut.max_rms_spot_diameter_um	16.5342
post_aut.max_rms_wavefront_error_waves	0.834605
post_aut.max_distortion_pct	2.14128
post_aut.fno	2.3
post_aut.epd_mm	2.00338
post_aut.maximh_mm	3.61296
efl_target_deviation_pct	0.0289781
aut_converged	1
