schema	atelier-codev-target-v1
status	ok
mode	target
stage	A
source_zmx	US10281683B2.zmx
num_fields	3
vignetting_edge	0.2
target.efl_mm	4.70603
target.f_number	2.0382
seed_baseline.efl_y_mm	4.69944
seed_baseline.max_lateral_color_um	1.64791
seed_baseline.max_rms_spot_diameter_um	15.834
seed_baseline.max_rms_wavefront_error_waves	0.203769
seed_baseline.max_distortion_pct	1.92075
seed_baseline.fno	1.68
seed_baseline.epd_mm	2.79729
seed_baseline.maximh_mm	4.0137
config_pre_aut.efl_y_mm	4.69944
config_pre_aut.max_lateral_color_um	1.64791
config_pre_aut.max_rms_spot_diameter_um	5.33852
config_pre_aut.max_rms_wavefront_error_waves	0.168264
config_pre_aut.max_distortion_pct	1.92075
config_pre_aut.fno	2.0382
config_pre_aut.epd_mm	2.30568
config_pre_aut.maximh_mm	4.0137
post_aut.efl_y_mm	4.70512
post_aut.max_lateral_color_um	3.45044
post_aut.max_rms_spot_diameter_um	13.7381
post_aut.max_rms_wavefront_error_waves	0.317093
post_aut.max_distortion_pct	2.55104
post_aut.fno	2.0382
post_aut.epd_mm	2.30847
post_aut.maximh_mm	4.01856
efl_target_deviation_pct	0.0192145
aut_converged	1
